image_path,x_tl,y_tl,xbr,ybr
img/WOMEN/Blouses_Shirts/id_00000001/02_1_front.jpg,50,49,208,235
img/WOMEN/Blouses_Shirts/id_00000001/02_2_side.jpg,119,48,136,234
img/WOMEN/Blouses_Shirts/id_00000001/02_3_back.jpg,50,42,213,240
img/WOMEN/Blouses_Shirts/id_00000001/02_4_full.jpg,82,30,162,129
img/WOMEN/Dresses/id_00000002/02_1_front.jpg,65,45,233,252
img/WOMEN/Dresses/id_00000002/02_2_side.jpg,112,41,168,247
img/WOMEN/Dresses/id_00000002/02_4_full.jpg,89,34,169,167
img/WOMEN/Dresses/id_00000002/02_7_additional.jpg,73,40,194,251
img/WOMEN/Skirts/id_00000003/02_1_front.jpg,51,122,160,210
img/WOMEN/Skirts/id_00000003/02_2_side.jpg,121,13,131,112
img/WOMEN/Skirts/id_00000003/02_3_back.jpg,41,30,227,180
img/WOMEN/Skirts/id_00000003/02_4_full.jpg,116,87,201,151
img/WOMEN/Skirts/id_00000003/02_7_additional.jpg,49,15,177,105
img/WOMEN/Blouses_Shirts/id_00000004/03_1_front.jpg,79,29,211,168
img/WOMEN/Blouses_Shirts/id_00000004/03_3_back.jpg,92,35,198,160
img/WOMEN/Blouses_Shirts/id_00000004/03_7_additional.jpg,64,22,206,205
img/WOMEN/Blouses_Shirts/id_00000004/05_1_front.jpg,43,38,192,248
img/WOMEN/Blouses_Shirts/id_00000004/05_2_side.jpg,130,45,167,236
img/WOMEN/Blouses_Shirts/id_00000004/05_7_additional.jpg,64,40,209,238
img/WOMEN/Blouses_Shirts/id_00000005/02_1_front.jpg,79,45,170,239
img/WOMEN/Blouses_Shirts/id_00000005/02_2_side.jpg,52,53,208,235
img/WOMEN/Blouses_Shirts/id_00000005/02_4_full.jpg,87,37,176,135
img/WOMEN/Blouses_Shirts/id_00000005/02_7_additional.jpg,45,43,235,249
img/MEN/Sweatshirts_Hoodies/id_00000006/01_1_front.jpg,51,40,202,215
img/MEN/Sweatshirts_Hoodies/id_00000006/01_2_side.jpg,122,48,151,230
img/MEN/Sweatshirts_Hoodies/id_00000006/01_3_back.jpg,52,36,209,219
img/MEN/Sweatshirts_Hoodies/id_00000006/01_6_flat.jpg,25,50,235,208
img/MEN/Sweatshirts_Hoodies/id_00000006/01_7_additional.jpg,86,27,181,129
img/MEN/Sweatshirts_Hoodies/id_00000006/02_1_front.jpg,60,44,209,212
img/MEN/Sweatshirts_Hoodies/id_00000006/02_2_side.jpg,121,45,155,218
img/MEN/Sweatshirts_Hoodies/id_00000006/02_3_back.jpg,57,34,208,214
img/MEN/Sweatshirts_Hoodies/id_00000006/02_6_flat.jpg,28,43,234,209
img/MEN/Sweatshirts_Hoodies/id_00000006/02_7_additional.jpg,84,27,180,135
img/WOMEN/Tees_Tanks/id_00000007/01_1_front.jpg,66,67,205,256
img/WOMEN/Tees_Tanks/id_00000007/01_2_side.jpg,97,5,185,202
img/WOMEN/Tees_Tanks/id_00000007/01_3_back.jpg,72,40,168,220
img/WOMEN/Tees_Tanks/id_00000007/01_4_full.jpg,103,33,152,118
img/WOMEN/Tees_Tanks/id_00000007/01_6_flat.jpg,52,14,210,237
img/WOMEN/Dresses/id_00000008/02_3_back.jpg,73,42,186,243
img/WOMEN/Dresses/id_00000008/02_7_additional.jpg,88,40,154,157
img/WOMEN/Dresses/id_00000009/02_1_front.jpg,73,40,204,250
img/WOMEN/Dresses/id_00000009/02_2_side.jpg,86,49,175,244
img/WOMEN/Dresses/id_00000009/02_3_back.jpg,62,35,194,250
img/WOMEN/Dresses/id_00000009/02_4_full.jpg,78,32,164,159
img/WOMEN/Dresses/id_00000009/02_7_additional.jpg,1,1,256,256
img/WOMEN/Cardigans/id_00000010/01_1_front.jpg,53,46,183,250
img/WOMEN/Cardigans/id_00000010/01_2_side.jpg,58,43,186,249
img/WOMEN/Cardigans/id_00000010/01_4_full.jpg,84,38,164,158
img/WOMEN/Cardigans/id_00000010/01_7_additional.jpg,97,33,205,243
img/WOMEN/Cardigans/id_00000010/02_1_front.jpg,68,47,199,253
img/WOMEN/Cardigans/id_00000010/02_2_side.jpg,77,42,197,256
img/WOMEN/Cardigans/id_00000010/02_7_additional.jpg,113,36,191,256
img/WOMEN/Dresses/id_00000011/02_1_front.jpg,91,33,150,226
img/WOMEN/Dresses/id_00000011/02_2_side.jpg,93,35,164,228
img/WOMEN/Dresses/id_00000011/02_3_back.jpg,83,26,161,233
img/WOMEN/Tees_Tanks/id_00000012/02_1_front.jpg,83,59,174,157
img/WOMEN/Tees_Tanks/id_00000012/02_2_side.jpg,77,56,141,161
img/WOMEN/Tees_Tanks/id_00000012/02_3_back.jpg,65,45,174,174
img/WOMEN/Tees_Tanks/id_00000012/02_7_additional.jpg,1,1,256,256
img/WOMEN/Jackets_Coats/id_00000013/03_1_front.jpg,67,50,194,232
img/WOMEN/Jackets_Coats/id_00000013/03_2_side.jpg,91,47,173,232
img/WOMEN/Jackets_Coats/id_00000013/03_3_back.jpg,64,55,192,222
img/WOMEN/Jackets_Coats/id_00000013/03_4_full.jpg,98,37,178,145
img/WOMEN/Jackets_Coats/id_00000013/03_7_additional.jpg,1,45,256,256
img/WOMEN/Jackets_Coats/id_00000013/05_1_front.jpg,59,50,187,228
img/WOMEN/Jackets_Coats/id_00000013/05_2_side.jpg,114,54,133,226
img/WOMEN/Jackets_Coats/id_00000013/05_4_full.jpg,92,36,172,145
img/WOMEN/Jackets_Coats/id_00000013/05_7_additional.jpg,73,43,176,220
img/WOMEN/Sweaters/id_00000014/01_1_front.jpg,44,38,208,184
img/WOMEN/Sweaters/id_00000014/01_2_side.jpg,65,22,175,219
img/WOMEN/Sweaters/id_00000014/01_3_back.jpg,50,57,199,222
img/WOMEN/Sweaters/id_00000014/01_4_full.jpg,103,41,145,119
img/WOMEN/Blouses_Shirts/id_00000015/02_1_front.jpg,70,57,215,187
img/WOMEN/Blouses_Shirts/id_00000015/02_2_side.jpg,102,51,131,173
img/WOMEN/Blouses_Shirts/id_00000015/02_3_back.jpg,51,49,200,191
img/WOMEN/Blouses_Shirts/id_00000015/02_4_full.jpg,105,36,167,106
img/WOMEN/Blouses_Shirts/id_00000015/02_7_additional.jpg,15,26,221,249
img/MEN/Sweaters/id_00000016/01_1_front.jpg,22,46,190,252
img/MEN/Sweaters/id_00000016/01_2_side.jpg,123,45,151,240
img/MEN/Sweaters/id_00000016/01_3_back.jpg,62,34,235,239
img/MEN/Sweaters/id_00000016/01_6_flat.jpg,26,41,235,209
img/MEN/Sweaters/id_00000016/01_7_additional.jpg,1,17,256,256
img/WOMEN/Tees_Tanks/id_00000017/01_1_front.jpg,71,59,193,209
img/WOMEN/Tees_Tanks/id_00000017/01_2_side.jpg,86,4,153,239
img/WOMEN/Tees_Tanks/id_00000017/01_3_back.jpg,49,55,180,237
img/WOMEN/Tees_Tanks/id_00000017/01_4_full.jpg,95,37,160,133
img/WOMEN/Tees_Tanks/id_00000017/02_1_front.jpg,71,41,193,209
img/WOMEN/Tees_Tanks/id_00000017/02_2_side.jpg,69,47,163,227
img/WOMEN/Tees_Tanks/id_00000017/02_3_back.jpg,57,33,224,252
img/WOMEN/Tees_Tanks/id_00000017/02_4_full.jpg,85,34,143,132
img/WOMEN/Sweaters/id_00000018/02_1_front.jpg,36,47,202,218
img/WOMEN/Sweaters/id_00000018/02_3_back.jpg,64,40,186,253
img/WOMEN/Sweaters/id_00000018/02_7_additional.jpg,105,50,161,240
img/WOMEN/Graphic_Tees/id_00000019/01_1_front.jpg,80,50,201,233
img/WOMEN/Graphic_Tees/id_00000019/01_2_side.jpg,104,46,157,247
img/WOMEN/Graphic_Tees/id_00000019/01_4_full.jpg,95,41,160,125
img/WOMEN/Graphic_Tees/id_00000019/01_7_additional.jpg,97,43,189,229
img/WOMEN/Tees_Tanks/id_00000020/04_1_front.jpg,65,56,214,176
img/WOMEN/Tees_Tanks/id_00000020/04_2_side.jpg,86,72,142,221
img/WOMEN/Tees_Tanks/id_00000020/04_3_back.jpg,27,66,230,233
img/WOMEN/Tees_Tanks/id_00000020/04_7_additional.jpg,96,43,178,106
img/WOMEN/Tees_Tanks/id_00000020/05_1_front.jpg,69,62,207,180
img/WOMEN/Tees_Tanks/id_00000020/05_2_side.jpg,70,59,161,171
img/WOMEN/Tees_Tanks/id_00000020/05_3_back.jpg,45,63,225,213
img/WOMEN/Tees_Tanks/id_00000020/05_7_additional.jpg,87,42,166,106
img/WOMEN/Tees_Tanks/id_00000020/06_1_front.jpg,64,57,206,180
img/WOMEN/Tees_Tanks/id_00000020/06_3_back.jpg,60,58,234,205
img/WOMEN/Tees_Tanks/id_00000020/06_4_full.jpg,111,45,191,109
img/WOMEN/Tees_Tanks/id_00000020/06_7_additional.jpg,70,60,171,179
img/WOMEN/Dresses/id_00000021/04_1_front.jpg,83,30,167,256
img/WOMEN/Dresses/id_00000021/04_2_side.jpg,116,23,154,256
img/WOMEN/Dresses/id_00000021/04_3_back.jpg,103,28,189,256
img/WOMEN/Dresses/id_00000021/04_7_additional.jpg,1,38,256,256
img/WOMEN/Dresses/id_00000021/05_1_front.jpg,90,30,179,256
img/WOMEN/Dresses/id_00000021/05_2_side.jpg,112,23,142,256
img/WOMEN/Dresses/id_00000021/05_7_additional.jpg,85,25,181,256
img/WOMEN/Dresses/id_00000021/06_1_front.jpg,85,25,170,256
img/WOMEN/Dresses/id_00000021/06_2_side.jpg,106,22,150,256
img/WOMEN/Dresses/id_00000021/06_7_additional.jpg,102,25,166,256
img/WOMEN/Shorts/id_00000022/02_1_front.jpg,77,163,190,224
img/WOMEN/Shorts/id_00000022/02_2_side.jpg,45,38,220,194
img/WOMEN/Shorts/id_00000022/02_3_back.jpg,27,39,235,193
img/WOMEN/Shorts/id_00000022/02_4_full.jpg,92,107,171,147
img/WOMEN/Shorts/id_00000022/02_7_additional.jpg,31,44,230,191
img/WOMEN/Dresses/id_00000023/01_1_front.jpg,71,39,178,256
img/WOMEN/Dresses/id_00000023/01_2_side.jpg,97,34,168,255
img/WOMEN/Dresses/id_00000023/01_3_back.jpg,70,40,188,256
img/WOMEN/Dresses/id_00000023/01_4_full.jpg,88,32,165,161
img/WOMEN/Blouses_Shirts/id_00000024/04_1_front.jpg,52,41,204,215
img/WOMEN/Blouses_Shirts/id_00000024/04_2_side.jpg,73,39,158,244
img/WOMEN/Blouses_Shirts/id_00000024/04_3_back.jpg,88,37,188,236
img/WOMEN/Blouses_Shirts/id_00000024/04_4_full.jpg,81,27,173,133
img/WOMEN/Blouses_Shirts/id_00000025/05_1_front.jpg,62,54,196,232
img/WOMEN/Blouses_Shirts/id_00000025/05_2_side.jpg,109,52,151,223
img/WOMEN/Blouses_Shirts/id_00000025/05_3_back.jpg,97,32,167,126
img/WOMEN/Blouses_Shirts/id_00000025/05_4_full.jpg,96,46,148,232
img/WOMEN/Tees_Tanks/id_00000026/05_1_front.jpg,61,55,206,222
img/WOMEN/Tees_Tanks/id_00000026/05_2_side.jpg,88,60,134,239
img/WOMEN/Tees_Tanks/id_00000026/05_3_back.jpg,49,61,195,244
img/WOMEN/Tees_Tanks/id_00000026/05_7_additional.jpg,70,35,149,131
img/WOMEN/Tees_Tanks/id_00000026/06_1_front.jpg,54,50,191,233
img/WOMEN/Tees_Tanks/id_00000026/06_2_side.jpg,86,48,157,237
img/WOMEN/Tees_Tanks/id_00000026/06_4_full.jpg,80,35,158,133
img/WOMEN/Tees_Tanks/id_00000026/06_7_additional.jpg,58,60,204,244
img/WOMEN/Tees_Tanks/id_00000026/07_1_front.jpg,55,57,187,232
img/WOMEN/Tees_Tanks/id_00000026/07_3_back.jpg,52,60,202,250
img/WOMEN/Tees_Tanks/id_00000026/07_4_full.jpg,75,40,145,137
img/WOMEN/Tees_Tanks/id_00000026/07_7_additional.jpg,84,72,198,202
img/WOMEN/Tees_Tanks/id_00000026/09_1_front.jpg,65,57,181,240
img/WOMEN/Tees_Tanks/id_00000026/09_2_side.jpg,68,49,205,234
img/WOMEN/Tees_Tanks/id_00000026/09_4_full.jpg,89,43,163,148
img/WOMEN/Tees_Tanks/id_00000026/09_7_additional.jpg,73,74,188,198
img/WOMEN/Dresses/id_00000027/01_1_front.jpg,114,41,196,155
img/WOMEN/Dresses/id_00000027/01_2_side.jpg,78,41,203,256
img/WOMEN/Dresses/id_00000027/01_3_back.jpg,55,46,192,243
img/WOMEN/Dresses/id_00000027/01_4_full.jpg,58,50,192,252
img/WOMEN/Dresses/id_00000027/01_7_additional.jpg,1,1,256,256
img/WOMEN/Dresses/id_00000027/02_1_front.jpg,118,38,191,156
img/WOMEN/Dresses/id_00000027/02_2_side.jpg,90,46,174,248
img/WOMEN/Dresses/id_00000027/02_3_back.jpg,70,36,206,256
img/WOMEN/Dresses/id_00000027/02_4_full.jpg,58,52,202,256
img/WOMEN/Dresses/id_00000027/02_7_additional.jpg,1,1,256,256
img/WOMEN/Blouses_Shirts/id_00000028/01_1_front.jpg,78,57,176,199
img/WOMEN/Blouses_Shirts/id_00000028/01_2_side.jpg,90,49,156,193
img/WOMEN/Blouses_Shirts/id_00000028/01_3_back.jpg,69,64,182,231
img/WOMEN/Blouses_Shirts/id_00000028/01_7_additional.jpg,95,40,148,115
img/WOMEN/Pants/id_00000029/04_1_front.jpg,79,93,138,242
img/WOMEN/Pants/id_00000029/04_2_side.jpg,108,1,152,247
img/WOMEN/Pants/id_00000029/04_3_back.jpg,99,1,178,246
img/WOMEN/Pants/id_00000029/04_7_additional.jpg,86,1,178,235
img/WOMEN/Pants/id_00000029/06_1_front.jpg,66,98,136,247
img/WOMEN/Pants/id_00000029/06_2_side.jpg,131,1,184,246
img/WOMEN/Pants/id_00000029/06_3_back.jpg,88,1,173,251
img/WOMEN/Pants/id_00000029/06_7_additional.jpg,91,2,175,240
img/WOMEN/Tees_Tanks/id_00000030/03_1_front.jpg,109,45,165,117
img/WOMEN/Tees_Tanks/id_00000030/03_2_side.jpg,78,71,172,256
img/WOMEN/Tees_Tanks/id_00000030/03_3_back.jpg,62,54,184,240
img/WOMEN/Tees_Tanks/id_00000030/03_7_additional.jpg,73,63,173,236
img/WOMEN/Tees_Tanks/id_00000030/04_1_front.jpg,78,61,181,236
img/WOMEN/Tees_Tanks/id_00000030/04_2_side.jpg,83,56,157,234
img/WOMEN/Tees_Tanks/id_00000030/04_3_back.jpg,56,60,192,253
img/WOMEN/Tees_Tanks/id_00000030/04_7_additional.jpg,107,41,171,118
img/WOMEN/Blouses_Shirts/id_00000031/02_1_front.jpg,62,55,200,220
img/WOMEN/Blouses_Shirts/id_00000031/02_2_side.jpg,110,58,140,218
img/WOMEN/Blouses_Shirts/id_00000031/02_3_back.jpg,55,51,207,220
img/WOMEN/Blouses_Shirts/id_00000031/02_4_full.jpg,89,34,171,130
img/WOMEN/Blouses_Shirts/id_00000031/02_7_additional.jpg,74,47,177,222
